character,server,region,class,spec,hero_talent,role,dungeon,key_level,duration_s,damage_done,dps,deaths,item_level,score,medal,affixes,report_code,fight_id,started_at
Lunaticferal,Ravencrest,EU,Druid,Guardian,Elune's Chosen,Tank,Pit of Saron,23,1688.6,243079898,143956.2,1,290,531.24270833333,bronze,9|10|147,FcaLgHVTtwrAZb4y,1,2026-06-21 19:22:49.053
Artamonk,Ravencrest,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Pit of Saron,23,1688.6,88883068,52638.1,2,290,531.24270833333,bronze,9|10|147,FcaLgHVTtwrAZb4y,1,2026-06-21 19:22:49.053
Namiaug,Ravencrest,EU,Evoker,Augmentation,Scalecommander,DPS,Pit of Saron,23,1688.6,414220950,245309.0,0,290,531.24270833333,bronze,9|10|147,FcaLgHVTtwrAZb4y,1,2026-06-21 19:22:49.053
Nightvp,Kazzak,EU,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Pit of Saron,23,1688.6,476551055,282222.0,0,290,531.24270833333,bronze,9|10|147,FcaLgHVTtwrAZb4y,1,2026-06-21 19:22:49.053
Zardh,TwistingNether,EU,DemonHunter,Devourer,Annihilator,DPS,Pit of Saron,23,1688.6,414536650,245496.0,1,291,531.24270833333,bronze,9|10|147,FcaLgHVTtwrAZb4y,1,2026-06-21 19:22:49.053
Майкидруид,Ревущийфьорд,EU,Druid,Guardian,Elune's Chosen,Tank,Windrunner Spire,23,1788.0,238334138,133297.4,1,291,533.22089015152,bronze,9|10|147,tnvTNqc7gzamXZBr,9,2026-07-01 14:49:27.513
Теоматтрр,Ревущийфьорд,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Windrunner Spire,23,1788.0,104481659,58435.3,0,291,533.22089015152,bronze,9|10|147,tnvTNqc7gzamXZBr,9,2026-07-01 14:49:27.513
Девоуреркала,Ревущийфьорд,EU,DemonHunter,Devourer,Annihilator,DPS,Windrunner Spire,23,1788.0,446769438,249872.7,0,293,533.22089015152,bronze,9|10|147,tnvTNqc7gzamXZBr,9,2026-07-01 14:49:27.513
Рэйвмейв,Ревущийфьорд,EU,Evoker,Augmentation,Scalecommander,DPS,Windrunner Spire,23,1788.0,478195037,267448.7,0,292,533.22089015152,bronze,9|10|147,tnvTNqc7gzamXZBr,9,2026-07-01 14:49:27.513
Dlkeydk,Stormscale,EU,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Windrunner Spire,23,1788.0,391429464,218921.8,1,292,533.22089015152,bronze,9|10|147,tnvTNqc7gzamXZBr,9,2026-07-01 14:49:27.513
Dorkibear,Sargeras,US,Druid,Guardian,Elune's Chosen,Tank,Skyreach,23,1666.5,184255653,110562.9,0,290,530.48540178571,bronze,9|10|147,RmtW7qM2THbxjdnf,10,2026-06-07 00:11:18.431
Drohgoe,Illidan,US,Monk,Mistweaver,Conduit of the Celestials,Healer,Skyreach,23,1666.5,72719096,43635.2,0,290,530.48540178571,bronze,9|10|147,RmtW7qM2THbxjdnf,10,2026-06-07 00:11:18.431
Goopswoop,Illidan,US,Evoker,Augmentation,Scalecommander,DPS,Skyreach,23,1666.5,309857666,185930.5,0,290,530.48540178571,bronze,9|10|147,RmtW7qM2THbxjdnf,10,2026-06-07 00:11:18.431
Cowboysam,Illidan,US,DemonHunter,Devourer,Annihilator,DPS,Skyreach,23,1666.5,331525402,198932.3,0,290,530.48540178571,bronze,9|10|147,RmtW7qM2THbxjdnf,10,2026-06-07 00:11:18.431
Crypticdk,Mal'Ganis,US,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Skyreach,23,1666.5,320049234,192046.0,0,290,530.48540178571,bronze,9|10|147,RmtW7qM2THbxjdnf,10,2026-06-07 00:11:18.431
Maitaidudu,Kazzak,EU,Druid,Guardian,Elune's Chosen,Tank,Seat of the Triumvirate,23,1862.4,219500031,117860.8,0,291,532.87358455882,bronze,9|10|147,T6P1dAt8w9kRCmGN,2,2026-06-22 09:23:04.727
Теоматтрр,Ревущийфьорд,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Seat of the Triumvirate,23,1862.4,105008610,56384.5,0,291,532.87358455882,bronze,9|10|147,T6P1dAt8w9kRCmGN,2,2026-06-22 09:23:04.727
Рэйвмейв,Ревущийфьорд,EU,Evoker,Augmentation,Scalecommander,DPS,Seat of the Triumvirate,23,1862.4,502080178,269592.6,0,291,532.87358455882,bronze,9|10|147,T6P1dAt8w9kRCmGN,2,2026-06-22 09:23:04.727
Бробабади,Ревущийфьорд,EU,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Seat of the Triumvirate,23,1862.4,427546654,229571.8,1,291,532.87358455882,bronze,9|10|147,T6P1dAt8w9kRCmGN,2,2026-06-22 09:23:04.727
Девоуреркала,Ревущийфьорд,EU,DemonHunter,Devourer,Annihilator,DPS,Seat of the Triumvirate,23,1862.4,463245411,248740.3,1,292,532.87358455882,bronze,9|10|147,T6P1dAt8w9kRCmGN,2,2026-06-22 09:23:04.727
Chuggsdruid,TarrenMill,EU,Druid,Guardian,Elune's Chosen,Tank,Windrunner Spire,23,1923.0,249901006,129951.4,0,291,319.82998657227,none,9|10|147,8C12ZFmDjqcGH3xr,4,2026-06-21 23:47:55.449
Chinegl,TarrenMill,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Windrunner Spire,23,1923.0,106375251,55316.3,2,290,319.82998657227,none,9|10|147,8C12ZFmDjqcGH3xr,4,2026-06-21 23:47:55.449
Biomontevkr,TwistingNether,EU,Evoker,Augmentation,Scalecommander,DPS,Windrunner Spire,23,1923.0,415113893,215863.9,2,290,319.82998657227,none,9|10|147,8C12ZFmDjqcGH3xr,4,2026-06-21 23:47:55.449
Waterslides,TarrenMill,EU,DemonHunter,Devourer,Annihilator,DPS,Windrunner Spire,23,1923.0,434965094,226186.8,1,291,319.82998657227,none,9|10|147,8C12ZFmDjqcGH3xr,4,2026-06-21 23:47:55.449
Cadanver,Kazzak,EU,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Windrunner Spire,23,1923.0,419808032,218304.9,0,291,319.82998657227,none,9|10|147,8C12ZFmDjqcGH3xr,4,2026-06-21 23:47:55.449
Vividrd,TarrenMill,EU,Druid,Guardian,Elune's Chosen,Tank,Skyreach,23,1620.6,180301148,111257.4,0,289,531.50935267857,bronze,9|10|147,YAPVD2Zfk6wyRFzH,1,2026-06-02 19:59:51.342
Kronafotm,TarrenMill,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Skyreach,23,1620.6,79175401,48856.3,0,290,531.50935267857,bronze,9|10|147,YAPVD2Zfk6wyRFzH,1,2026-06-02 19:59:51.342
Shirodrache,Blackhand,EU,Evoker,Augmentation,Scalecommander,DPS,Skyreach,23,1620.6,312694268,192952.4,0,289,531.50935267857,bronze,9|10|147,YAPVD2Zfk6wyRFzH,1,2026-06-02 19:59:51.342
Daveblunts,Drak'thul,EU,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Skyreach,23,1620.6,336294876,207515.5,0,290,531.50935267857,bronze,9|10|147,YAPVD2Zfk6wyRFzH,1,2026-06-02 19:59:51.342
Arxesdh,TarrenMill,EU,DemonHunter,Devourer,Annihilator,DPS,Skyreach,23,1620.6,324362927,200152.7,0,289,531.50935267857,bronze,9|10|147,YAPVD2Zfk6wyRFzH,1,2026-06-02 19:59:51.342
Lunaticferal,Ravencrest,EU,Druid,Guardian,Elune's Chosen,Tank,Nexus-Point Xenas,23,1664.7,205568294,123487.3,0,291,532.36185416667,bronze,9|10|147,DnwB3F1zaCxTKL6N,1,2026-06-27 20:06:15.922
Artamonk,Ravencrest,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Nexus-Point Xenas,23,1664.7,92631131,55644.6,1,291,532.36185416667,bronze,9|10|147,DnwB3F1zaCxTKL6N,1,2026-06-27 20:06:15.922
Nightvp,Kazzak,EU,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Nexus-Point Xenas,23,1664.7,382733742,229912.6,0,291,532.36185416667,bronze,9|10|147,DnwB3F1zaCxTKL6N,1,2026-06-27 20:06:15.922
Namiaug,Ravencrest,EU,Evoker,Augmentation,Scalecommander,DPS,Nexus-Point Xenas,23,1664.7,387063684,232513.7,0,290,532.36185416667,bronze,9|10|147,DnwB3F1zaCxTKL6N,1,2026-06-27 20:06:15.922
Lonelyfel,Kazzak,EU,DemonHunter,Devourer,Annihilator,DPS,Nexus-Point Xenas,23,1664.7,382354723,229685.0,1,292,532.36185416667,bronze,9|10|147,DnwB3F1zaCxTKL6N,1,2026-06-27 20:06:15.922
Uglyclown,Draenor,EU,Druid,Guardian,Elune's Chosen,Tank,Nexus-Point Xenas,23,1695.4,203751349,120181.5,0,291,532.0453125,bronze,9|10|147,8NmjkDTJ71trLCqQ,5,2026-06-24 19:25:54.803
Anxieyex,Silvermoon,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Nexus-Point Xenas,23,1695.4,104442019,61604.5,0,290,532.0453125,bronze,9|10|147,8NmjkDTJ71trLCqQ,5,2026-06-24 19:25:54.803
Uglyhumi,TwistingNether,EU,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Nexus-Point Xenas,23,1695.4,423506022,249802.6,0,292,532.0453125,bronze,9|10|147,8NmjkDTJ71trLCqQ,5,2026-06-24 19:25:54.803
Jisoodc,TwistingNether,EU,Evoker,Augmentation,Scalecommander,DPS,Nexus-Point Xenas,23,1695.4,404275412,238459.5,0,291,532.0453125,bronze,9|10|147,8NmjkDTJ71trLCqQ,5,2026-06-24 19:25:54.803
Nosheep,TwistingNether,EU,Mage,Frost,Spellslinger,DPS,Nexus-Point Xenas,23,1695.4,314565303,185544.5,1,291,532.0453125,bronze,9|10|147,8NmjkDTJ71trLCqQ,5,2026-06-24 19:25:54.803
Allferalsblo,Tichondrius,US,Druid,Guardian,Elune's Chosen,Tank,Nexus-Point Xenas,23,1763.5,194877995,110506.4,0,289,530.62525,bronze,9|10|147,CWtjymkb1wGrzPdY,2,2026-06-09 00:51:03.034
Vltz,Tichondrius,US,Monk,Mistweaver,Conduit of the Celestials,Healer,Nexus-Point Xenas,23,1763.5,86154752,48854.4,0,289,530.62525,bronze,9|10|147,CWtjymkb1wGrzPdY,2,2026-06-09 00:51:03.034
Deshanasana,Area52,US,Evoker,Augmentation,Scalecommander,DPS,Nexus-Point Xenas,23,1763.5,379391838,215135.7,0,290,530.62525,bronze,9|10|147,CWtjymkb1wGrzPdY,2,2026-06-09 00:51:03.034
Kpopdemonh,Tichondrius,US,DemonHunter,Devourer,Annihilator,DPS,Nexus-Point Xenas,23,1763.5,395425133,224227.5,1,290,530.62525,bronze,9|10|147,CWtjymkb1wGrzPdY,2,2026-06-09 00:51:03.034
Xrceus,Tichondrius,US,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Nexus-Point Xenas,23,1763.5,391004421,221720.7,0,290,530.62525,bronze,9|10|147,CWtjymkb1wGrzPdY,2,2026-06-09 00:51:03.034
Låbubu,Area52,US,Druid,Guardian,Unknown,Tank,Windrunner Spire,23,1960.3,226369751,115476.5,1,290,319.69000244141,none,9|10|147,qwdBhvNJQMFjZGDk,61,2026-06-04 19:49:11.027
Elunemw,Thrall,US,Monk,Mistweaver,Unknown,Healer,Windrunner Spire,23,1960.3,99022420,50513.7,0,290,319.69000244141,none,9|10|147,qwdBhvNJQMFjZGDk,61,2026-06-04 19:49:11.027
Bite,Area52,US,Evoker,Augmentation,Unknown,DPS,Windrunner Spire,23,1960.3,428151288,218410.0,1,289,319.69000244141,none,9|10|147,qwdBhvNJQMFjZGDk,61,2026-06-04 19:49:11.027
Battantz,Area52,US,DemonHunter,Devourer,Unknown,DPS,Windrunner Spire,23,1960.3,414842180,211620.7,1,290,319.69000244141,none,9|10|147,qwdBhvNJQMFjZGDk,61,2026-06-04 19:49:11.027
Petmastery,Zul'jin,US,DeathKnight,Unholy,Unknown,DPS,Windrunner Spire,23,1960.3,471322792,240432.8,0,290,319.69000244141,none,9|10|147,qwdBhvNJQMFjZGDk,61,2026-06-04 19:49:11.027
Goskinkan,TwistingNether,EU,Druid,Guardian,Elune's Chosen,Tank,Algeth'ar Academy,23,1825.9,255602021,139990.2,0,292,530.85324596774,bronze,9|10|147,hCPgfzr6tjDv4Mqp,3,2026-07-01 17:31:24.637
Mistovic,TarrenMill,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Algeth'ar Academy,23,1825.9,99826961,54674.1,0,291,530.85324596774,bronze,9|10|147,hCPgfzr6tjDv4Mqp,3,2026-07-01 17:31:24.637
Flousz,TarrenMill,EU,Evoker,Augmentation,Scalecommander,DPS,Algeth'ar Academy,23,1825.9,408794606,223892.0,0,292,530.85324596774,bronze,9|10|147,hCPgfzr6tjDv4Mqp,3,2026-07-01 17:31:24.637
Exraze,TarrenMill,EU,DemonHunter,Devourer,Annihilator,DPS,Algeth'ar Academy,23,1825.9,459387640,251601.2,0,293,530.85324596774,bronze,9|10|147,hCPgfzr6tjDv4Mqp,3,2026-07-01 17:31:24.637
Bustamovesx,TwistingNether,EU,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Algeth'ar Academy,23,1825.9,431164629,236143.8,0,292,530.85324596774,bronze,9|10|147,hCPgfzr6tjDv4Mqp,3,2026-07-01 17:31:24.637
Móonyx,Ravencrest,EU,Druid,Guardian,Elune's Chosen,Tank,Maisara Caverns,23,1799.5,231193440,128478.1,0,289,533.29100378788,bronze,9|10|147,C2yVmfP3ATgaqhvd,13,2026-06-07 13:54:07.773
Теоматтрр,Ревущийфьорд,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Maisara Caverns,23,1799.5,117635010,65371.7,0,290,533.29100378788,bronze,9|10|147,C2yVmfP3ATgaqhvd,13,2026-06-07 13:54:07.773
Рэйвмейв,Ревущийфьорд,EU,Evoker,Augmentation,Scalecommander,DPS,Maisara Caverns,23,1799.5,474734304,263817.8,0,289,533.29100378788,bronze,9|10|147,C2yVmfP3ATgaqhvd,13,2026-06-07 13:54:07.773
Krãtõs,TarrenMill,EU,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Maisara Caverns,23,1799.5,471555510,262051.3,1,289,533.29100378788,bronze,9|10|147,C2yVmfP3ATgaqhvd,13,2026-06-07 13:54:07.773
Девоуреркала,Ревущийфьорд,EU,DemonHunter,Devourer,Annihilator,DPS,Maisara Caverns,23,1799.5,478660921,265999.9,0,290,533.29100378788,bronze,9|10|147,C2yVmfP3ATgaqhvd,13,2026-06-07 13:54:07.773
Kókushibò,Archimonde,EU,Druid,Guardian,Elune's Chosen,Tank,Magisters' Terrace,23,1952.4,267637245,137083.1,1,292,530.93632352941,bronze,9|10|147,LDYdypbAXRNkg81a,119,2026-07-01 23:22:33.630
Deknaz,Ravencrest,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Magisters' Terrace,23,1952.4,102999276,52756.0,0,291,530.93632352941,bronze,9|10|147,LDYdypbAXRNkg81a,119,2026-07-01 23:22:33.630
Ðémoralizing,Archimonde,EU,DemonHunter,Devourer,Annihilator,DPS,Magisters' Terrace,23,1952.4,437281238,223974.3,0,291,530.93632352941,bronze,9|10|147,LDYdypbAXRNkg81a,119,2026-07-01 23:22:33.630
Lamanselinho,Archimonde,EU,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Magisters' Terrace,23,1952.4,450923781,230962.0,2,292,530.93632352941,bronze,9|10|147,LDYdypbAXRNkg81a,119,2026-07-01 23:22:33.630
Piglord,Archimonde,EU,Evoker,Augmentation,Scalecommander,DPS,Magisters' Terrace,23,1952.4,501074609,256649.1,0,292,530.93632352941,bronze,9|10|147,LDYdypbAXRNkg81a,119,2026-07-01 23:22:33.630
Bearbee,Frostmourne,US,Druid,Guardian,Elune's Chosen,Tank,Maisara Caverns,24,1907.2,320300858,167946.8,1,291,546.25496212121,bronze,9|10|147,zKwJYTjdG7FXAgNa,12,2026-06-20 13:21:01.131
Lagbugddos,Frostmourne,US,Monk,Mistweaver,Conduit of the Celestials,Healer,Maisara Caverns,24,1907.2,132821952,69644.0,0,291,546.25496212121,bronze,9|10|147,zKwJYTjdG7FXAgNa,12,2026-06-20 13:21:01.131
Lovehelping,Frostmourne,US,Evoker,Augmentation,Scalecommander,DPS,Maisara Caverns,24,1907.2,490328747,257099.3,0,292,546.25496212121,bronze,9|10|147,zKwJYTjdG7FXAgNa,12,2026-06-20 13:21:01.131
Chân,Frostmourne,US,DemonHunter,Devourer,Annihilator,DPS,Maisara Caverns,24,1907.2,483601843,253572.1,0,292,546.25496212121,bronze,9|10|147,zKwJYTjdG7FXAgNa,12,2026-06-20 13:21:01.131
Zephráne,Frostmourne,US,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Maisara Caverns,24,1907.2,533080392,279515.7,0,291,546.25496212121,bronze,9|10|147,zKwJYTjdG7FXAgNa,12,2026-06-20 13:21:01.131
Drtreantino,Ragnaros,EU,Druid,Guardian,Elune's Chosen,Tank,Magisters' Terrace,23,1776.0,263487292,148357.3,0,291,534.451875,bronze,9|10|147,JzAxNm9a142d8rKX,14,2026-07-01 17:54:54.190
Roibendeux,TwistingNether,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Magisters' Terrace,23,1776.0,110898401,62441.7,0,292,534.451875,bronze,9|10|147,JzAxNm9a142d8rKX,14,2026-07-01 17:54:54.190
Speedk,TwistingNether,EU,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Magisters' Terrace,23,1776.0,468574235,263832.1,0,292,534.451875,bronze,9|10|147,JzAxNm9a142d8rKX,14,2026-07-01 17:54:54.190
Sjelelele,TwistingNether,EU,Evoker,Augmentation,Scalecommander,DPS,Magisters' Terrace,23,1776.0,445985615,251113.5,1,290,534.451875,bronze,9|10|147,JzAxNm9a142d8rKX,14,2026-07-01 17:54:54.190
Uwunyasha,Ravencrest,EU,DemonHunter,Devourer,Annihilator,DPS,Magisters' Terrace,23,1776.0,462168043,260225.1,1,293,534.451875,bronze,9|10|147,JzAxNm9a142d8rKX,14,2026-07-01 17:54:54.190
Bearbee,Frostmourne,US,Druid,Guardian,Elune's Chosen,Tank,Skyreach,23,1574.4,191965742,121929.0,0,292,532.21232142857,bronze,9|10|147,78m6YaqwM3AjDRrB,9,2026-06-25 11:55:57.967
Lagbugddos,Frostmourne,US,Monk,Mistweaver,Conduit of the Celestials,Healer,Skyreach,23,1574.4,80952174,51417.6,1,291,532.21232142857,bronze,9|10|147,78m6YaqwM3AjDRrB,9,2026-06-25 11:55:57.967
Zephráne,Frostmourne,US,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Skyreach,23,1574.4,324867888,206343.1,0,291,532.21232142857,bronze,9|10|147,78m6YaqwM3AjDRrB,9,2026-06-25 11:55:57.967
Chân,Frostmourne,US,DemonHunter,Devourer,Annihilator,DPS,Skyreach,23,1574.4,309563941,196622.7,0,292,532.21232142857,bronze,9|10|147,78m6YaqwM3AjDRrB,9,2026-06-25 11:55:57.967
Lovehelping,Frostmourne,US,Evoker,Augmentation,Scalecommander,DPS,Skyreach,23,1574.4,302067504,191861.3,0,292,532.21232142857,bronze,9|10|147,78m6YaqwM3AjDRrB,9,2026-06-25 11:55:57.967
Yapigodx,Silvermoon,EU,Druid,Guardian,Elune's Chosen,Tank,Maisara Caverns,23,1891.0,241456479,127689.2,1,289,530.99206439394,bronze,9|10|147,tbHwAJF4xdjgMWQm,3,2026-05-29 12:57:48.821
Теоматтрр,Ревущийфьорд,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Maisara Caverns,23,1891.0,111720367,59081.0,0,290,530.99206439394,bronze,9|10|147,tbHwAJF4xdjgMWQm,3,2026-05-29 12:57:48.821
Dlkey,Stormscale,EU,Evoker,Augmentation,Scalecommander,DPS,Maisara Caverns,23,1891.0,490465107,259372.2,0,290,530.99206439394,bronze,9|10|147,tbHwAJF4xdjgMWQm,3,2026-05-29 12:57:48.821
Девоуреркала,Ревущийфьорд,EU,DemonHunter,Devourer,Annihilator,DPS,Maisara Caverns,23,1891.0,457049537,241701.1,2,290,530.99206439394,bronze,9|10|147,tbHwAJF4xdjgMWQm,3,2026-05-29 12:57:48.821
Майкигрип,Ревущийфьорд,EU,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Maisara Caverns,23,1891.0,454589339,240400.1,0,290,530.99206439394,bronze,9|10|147,tbHwAJF4xdjgMWQm,3,2026-05-29 12:57:48.821
Maitaidudu,Kazzak,EU,Druid,Guardian,Elune's Chosen,Tank,Algeth'ar Academy,23,1814.1,217945802,120141.2,1,291,530.48532258065,bronze,9|10|147,f6ajb1A3TcNKJgGY,15,2026-06-21 13:17:55.825
Теоматтрр,Ревущийфьорд,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Algeth'ar Academy,23,1814.1,100203024,55236.3,0,291,530.48532258065,bronze,9|10|147,f6ajb1A3TcNKJgGY,15,2026-06-21 13:17:55.825
Девоуреркала,Ревущийфьорд,EU,DemonHunter,Devourer,Annihilator,DPS,Algeth'ar Academy,23,1814.1,447504810,246684.2,0,292,530.48532258065,bronze,9|10|147,f6ajb1A3TcNKJgGY,15,2026-06-21 13:17:55.825
Dlkeyvoker,Stormscale,EU,Evoker,Augmentation,Scalecommander,DPS,Algeth'ar Academy,23,1814.1,440609923,242883.4,0,291,530.48532258065,bronze,9|10|147,f6ajb1A3TcNKJgGY,15,2026-06-21 13:17:55.825
Бробабади,Ревущийфьорд,EU,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Algeth'ar Academy,23,1814.1,408686418,225285.8,1,291,530.48532258065,bronze,9|10|147,f6ajb1A3TcNKJgGY,15,2026-06-21 13:17:55.825
Pepis,Elune,US,Druid,Guardian,Elune's Chosen,Tank,Windrunner Spire,23,1915.6,255901257,133589.2,0,290,530.52134469697,bronze,9|10|147,MbqAKwy26tY3ghW9,2,2026-06-09 02:18:55.939
Stomply,Illidan,US,Monk,Mistweaver,Conduit of the Celestials,Healer,Windrunner Spire,23,1915.6,103517655,54039.7,0,290,530.52134469697,bronze,9|10|147,MbqAKwy26tY3ghW9,2,2026-06-09 02:18:55.939
Immoaura,Illidan,US,DemonHunter,Devourer,Annihilator,DPS,Windrunner Spire,23,1915.6,418236672,218333.8,2,290,530.52134469697,bronze,9|10|147,MbqAKwy26tY3ghW9,2,2026-06-09 02:18:55.939
Eiennohito,Zul'jin,US,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Windrunner Spire,23,1915.6,420310894,219416.6,1,290,530.52134469697,bronze,9|10|147,MbqAKwy26tY3ghW9,2,2026-06-09 02:18:55.939
Bhrisky,Illidan,US,Evoker,Augmentation,Scalecommander,DPS,Windrunner Spire,23,1915.6,416721979,217543.0,0,289,530.52134469697,bronze,9|10|147,MbqAKwy26tY3ghW9,2,2026-06-09 02:18:55.939
Sumishbear,Blackrock,EU,Druid,Guardian,Elune's Chosen,Tank,Pit of Saron,23,1764.1,257661651,146054.5,0,292,530.28864583333,bronze,9|10|147,nCR4rLpVfWH1c7a8,14,2026-06-29 16:10:20.253
Shrugeg,Blackrock,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Pit of Saron,23,1764.1,101542047,57558.7,0,290,530.28864583333,bronze,9|10|147,nCR4rLpVfWH1c7a8,14,2026-06-29 16:10:20.253
Fayk,Silvermoon,EU,DemonHunter,Devourer,Annihilator,DPS,Pit of Saron,23,1764.1,427563640,242362.8,1,292,530.28864583333,bronze,9|10|147,nCR4rLpVfWH1c7a8,14,2026-06-29 16:10:20.253
Hanserhardt,Blackrock,EU,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Pit of Saron,23,1764.1,463480346,262722.1,1,292,530.28864583333,bronze,9|10|147,nCR4rLpVfWH1c7a8,14,2026-06-29 16:10:20.253
Djivoker,TarrenMill,EU,Evoker,Augmentation,Scalecommander,DPS,Pit of Saron,23,1764.1,374387355,212220.0,0,291,530.28864583333,bronze,9|10|147,nCR4rLpVfWH1c7a8,14,2026-06-29 16:10:20.253
Grizzmachine,BurningLegion,EU,Druid,Guardian,Elune's Chosen,Tank,Skyreach,23,1661.1,192004800,115586.0,0,291,319.60998535156,none,9|10|147,CbX1wYg6aqynRZm2,1,2026-06-27 02:27:35.719
Kyomaog,BurningLegion,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Skyreach,23,1661.1,93339481,56189.9,0,291,319.60998535156,none,9|10|147,CbX1wYg6aqynRZm2,1,2026-06-27 02:27:35.719
Banggeer,BurningLegion,EU,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Skyreach,23,1661.1,337161129,202969.4,0,291,319.60998535156,none,9|10|147,CbX1wYg6aqynRZm2,1,2026-06-27 02:27:35.719
Juura,Kazzak,EU,DemonHunter,Devourer,Annihilator,DPS,Skyreach,23,1661.1,318225103,191570.0,2,291,319.60998535156,none,9|10|147,CbX1wYg6aqynRZm2,1,2026-06-27 02:27:35.719
Yarpgi,BurningLegion,EU,Evoker,Augmentation,Scalecommander,DPS,Skyreach,23,1661.1,292239933,175927.0,1,291,319.60998535156,none,9|10|147,CbX1wYg6aqynRZm2,1,2026-06-27 02:27:35.719
